"record_id","RSN","component","split","target_IM_g","native_IM_g","scale_factor","max_IDR","max_PFA_g","RD","collapse","convergence"
"GM001","68","PEL090","train","0.290240933769757","0.290240933769757","1.0","0.009257846579572","0.4633173735669649","0.0005319011109367","False","True"
"GM002","68","PEL180","train","0.2042943267450067","0.2042943267450067","1.0","0.0075659050701414","0.4042965817460142","0.0003661630072452","False","True"
"GM003","125","A-TMZ000","val","0.2861345384472494","0.2861345384472494","1.0","0.0103626198718328","0.6883457520121937","0.000300434750971","False","True"
"GM004","125","A-TMZ270","val","0.3582591406997967","0.3582591406997967","1.0","0.0129497361057609","0.651584463232127","0.0011925652195215","False","True"
"GM005","169","H-DLT262","val","0.3480888196335115","0.3480888196335115","1.0","0.011556971508448","0.6090505626528371","0.0002441855983336","False","True"
"GM006","169","H-DLT352","val","0.7120890683064544","0.7120890683064544","1.0","0.0163156835550678","0.7972185309468918","0.0022743073152046","False","True"
"GM007","174","H-E11140","train","0.2720134975040692","0.2720134975040692","1.0","0.0100066051866002","0.8034819284661839","0.0001111782805295","False","True"
"GM008","174","H-E11230","train","0.238997576339591","0.238997576339591","1.0","0.0095423169111576","0.8523269074012519","0.000270308153299","False","True"
"GM009","721","B-ICC000","train","0.3605275954056443","0.3605275954056443","1.0","0.0107912412345365","0.622826828248256","8.715874775177004e-05","False","True"
"GM010","721","B-ICC090","train","0.2966888335873211","0.2966888335873211","1.0","0.0089899627891099","0.4563219212672678","0.0002256175605248","False","True"
"GM011","725","B-POE270","test","0.3920867087230501","0.3920867087230501","1.0","0.0114646466061978","0.4750322971447412","0.000305690575242","False","True"
"GM012","725","B-POE360","test","0.4874487321426003","0.4874487321426003","1.0","0.0119966781172601","0.6109744892826332","0.0003997107053471","False","True"
"GM013","752","CAP000","train","0.5560162659584231","0.5560162659584231","1.0","0.0166109973658178","0.9626716177825004","0.001546154861107","False","True"
"GM014","752","CAP090","train","0.3178669296346998","0.3178669296346998","1.0","0.0117142808537559","0.70057663271564","0.0001385387112656","False","True"
"GM015","767","G03000","train","0.4188538659764884","0.4188538659764884","1.0","0.0123091023876222","0.7820297021341212","0.0006368351804035","False","True"
"GM016","767","G03090","train","0.4104296694816334","0.4104296694816334","1.0","0.0137781942488577","0.6844562229269031","0.001470498935632","False","True"
"GM017","829","RIO270","train","0.6292028074516708","0.6292028074516708","1.0","0.0190064485756742","0.8596941275688145","0.0018015461727221","False","True"
"GM018","829","RIO360","train","0.5124144884963814","0.5124144884963814","1.0","0.0172017479125702","0.949648492663236","0.0003543617247617","False","True"
"GM019","848","CLW-LN","train","0.2686437560794275","0.2686437560794275","1.0","0.0142737319071298","0.8462583247467003","0.0012319635832504","False","True"
"GM020","848","CLW-TR","train","0.4932824388388774","0.4932824388388774","1.0","0.0125550852826248","0.7538293230390517","0.0010192695524007","False","True"
"GM021","900","YER270","train","0.6102740994622827","0.6102740994622827","1.0","0.0141672447208234","0.618142863337449","0.0016856562104827","False","True"
"GM022","900","YER360","train","0.3982805590560772","0.3982805590560772","1.0","0.0120739962121749","0.5760591986299095","0.0011975475977592","False","True"
"GM023","953","MUL009","train","1.38676955525036","1.38676955525036","1.0","0.0205169214660348","0.8159392503643356","0.0007590438321401","False","True"
