record_id,RSN,event_group,component,native_IM_g,record_dt,duration_record_s,source_filename,split
GM001,68,SFERN,PEL090,0.290240933769757,0.01,27.99,PEL090.AT2,train
GM002,68,SFERN,PEL180,0.2042943267450067,0.01,27.99,PEL180.AT2,train
GM003,125,FRIULI,A-TMZ000,0.2861345384472494,0.005,36.34,A-TMZ000.AT2,val
GM004,125,FRIULI,A-TMZ270,0.3582591406997967,0.005,36.34,A-TMZ270.AT2,val
GM005,169,IMPVALL,H-DLT262,0.3480888196335115,0.01,99.91,H-DLT262.AT2,val
GM006,169,IMPVALL,H-DLT352,0.7120890683064544,0.01,99.91,H-DLT352.AT2,val
GM007,174,IMPVALL,H-E11140,0.2720134975040692,0.005,39.03,H-E11140.AT2,train
GM008,174,IMPVALL,H-E11230,0.238997576339591,0.005,39.03,H-E11230.AT2,train
GM009,721,SUPERST,B-ICC000,0.3605275954056443,0.005,39.995,B-ICC000.AT2,train
GM010,721,SUPERST,B-ICC090,0.2966888335873211,0.005,39.995,B-ICC090.AT2,train
GM011,725,SUPERST,B-POE270,0.3920867087230501,0.01,22.29,B-POE270.AT2,test
GM012,725,SUPERST,B-POE360,0.4874487321426003,0.01,22.29,B-POE360.AT2,test
GM013,752,LOMAP,CAP000,0.5560162659584231,0.005,39.95,CAP000.AT2,train
GM014,752,LOMAP,CAP090,0.3178669296346998,0.005,39.95,CAP090.AT2,train
GM015,767,LOMAP,G03000,0.4188538659764884,0.005,39.94,G03000.AT2,train
GM016,767,LOMAP,G03090,0.4104296694816334,0.005,39.94,G03090.AT2,train
GM017,829,CAPEMEND,RIO270,0.6292028074516708,0.02,35.980000000000004,RIO270.AT2,train
GM018,829,CAPEMEND,RIO360,0.5124144884963814,0.02,35.980000000000004,RIO360.AT2,train
GM019,848,LANDERS,CLW-LN,0.2686437560794275,0.0025,27.9625,CLW-LN.AT2,train
GM020,848,LANDERS,CLW-TR,0.4932824388388774,0.0025,27.9625,CLW-TR.AT2,train
GM021,900,LANDERS,YER270,0.6102740994622827,0.02,43.98,YER270.AT2,train
GM022,900,LANDERS,YER360,0.3982805590560772,0.02,43.98,YER360.AT2,train
GM023,953,NORTHR,MUL009,1.38676955525036,0.01,29.98,MUL009.AT2,train
GM024,953,NORTHR,MUL279,1.0994225630211358,0.01,29.98,MUL279.AT2,train
GM025,960,NORTHR,LOS000,0.4336034533616525,0.01,19.98,LOS000.AT2,test
GM026,960,NORTHR,LOS270,0.7858009203741332,0.01,19.98,LOS270.AT2,test
GM027,1111,KOBE,NIS000,0.3546814940353707,0.01,40.95,NIS000.AT2,test
GM028,1111,KOBE,NIS090,0.37610212824093,0.01,40.95,NIS090.AT2,test
GM029,1116,KOBE,SHI000,0.333968516931712,0.01,40.95,SHI000.AT2,train
GM030,1116,KOBE,SHI090,0.264552650629232,0.01,40.95,SHI090.AT2,train
GM031,1148,KOCAELI,ARC000,0.1454227921899315,0.005,29.995,ARC000.AT2,train
GM032,1148,KOCAELI,ARC090,0.1296310999204284,0.005,29.995,ARC090.AT2,train
GM033,1158,KOCAELI,DZC180,0.4959342454317579,0.005,27.18,DZC180.AT2,test
GM034,1158,KOCAELI,DZC270,0.8149324834010588,0.005,27.18,DZC270.AT2,test
GM035,1244,CHICHI,CHY101-E,0.5496599586242269,0.005,89.995,CHY101-E.AT2,train
GM036,1244,CHICHI,CHY101-N,1.2190574789974256,0.005,89.995,CHY101-N.AT2,train
GM037,1485,CHICHI,TCU045-E,0.3626409576511137,0.005,89.995,TCU045-E.AT2,train
GM038,1485,CHICHI,TCU045-N,0.5003103430329471,0.005,89.995,TCU045-N.AT2,train
GM039,1602,DUZCE,BOL000,0.898169345667361,0.01,55.89,BOL000.AT2,val
GM040,1602,DUZCE,BOL090,1.3565372014308057,0.01,55.89,BOL090.AT2,val
GM041,1633,MANJIL,ABBAR--L,0.4103835649199381,0.02,53.5,ABBAR--L.AT2,train
GM042,1633,MANJIL,ABBAR--T,0.6416929592377317,0.02,45.98,ABBAR--T.AT2,train
GM043,1787,HECTOR,HEC000,0.4043952705431982,0.01,45.3,HEC000.AT2,val
GM044,1787,HECTOR,HEC090,0.4731157338923612,0.01,45.3,HEC090.AT2,val
