sample_id,ln_IM,ln_IDR,ln_PFA,ln_RD
1,-2.295558948,-6.598525994,-1.791772175,-6.662284091
2,-2.294848553,-6.775865757,-1.803071222,-6.759845353
3,-2.293873929,-6.569715678,-1.739886676,-6.911826947
4,-2.291153623,-6.747901863,-1.786841029,-6.949534017
5,-2.277380339,-6.712352023,-1.778697747,-6.832219448
6,-2.266906113,-6.61663316,-1.995822537,-6.837380971
7,-2.261838685,-6.724289035,-1.756346089,-7.016206315
8,-2.2520206,-6.547244379,-1.730817601,-6.74372336
9,-2.240661422,-6.549832034,-1.738509634,-6.72985919
10,-2.235129276,-6.653088457,-1.793203132,-6.860255519
11,-2.222332522,-6.685425993,-1.906960088,-6.910224871
12,-2.207637358,-6.600456864,-1.902904523,-6.914573467
13,-2.200969816,-6.590927224,-1.887155983,-6.756437154
14,-2.189289568,-6.670601208,-1.874612741,-6.738935671
15,-2.18644929,-6.534863391,-1.870541754,-6.706281833
16,-2.181698628,-6.364626796,-1.506393353,-6.562214673
17,-2.179524009,-6.518485975,-1.815917692,-6.620688993
18,-2.149478162,-6.325922611,-1.562539737,-6.584477495
19,-2.1415712,-6.614317921,-1.835666823,-6.737575393
20,-2.138714743,-6.680746725,-1.786304299,-6.688621708
21,-2.132331886,-6.595124223,-1.529460157,-6.664039406
22,-2.12975301,-6.546719946,-1.778359103,-6.672690069
23,-2.109013056,-6.341234662,-1.773822242,-6.670662956
24,-2.098619738,-6.367858909,-1.803948405,-6.57623687
25,-2.097971727,-6.485310129,-1.908342752,-6.641084124
26,-2.091631297,-6.511802417,-1.750430166,-6.477439988
27,-2.089448904,-6.646967591,-1.727860958,-6.937378021
28,-2.061111842,-6.472031114,-1.871232169,-6.751569141
29,-2.059173651,-6.509681075,-1.483509023,-6.540693668
30,-2.054634351,-6.307786499,-1.651976902,-6.731722764
31,-2.043904094,-6.527654766,-1.752119466,-6.621661483
32,-2.034351783,-6.438012971,-1.398492795,-6.448034262
33,-2.023679817,-6.351764631,-1.667102877,-6.630487347
34,-2.021363096,-6.494504772,-1.766674305,-6.642021199
35,-2.020330706,-6.505234215,-1.704965096,-6.655378324
36,-1.997697876,-6.317569181,-1.677243636,-6.54483945
37,-1.975910556,-6.455229018,-1.612088043,-6.507385484
38,-1.960870957,-6.380636815,-1.756168179,-6.524470061
39,-1.94786538,-6.433950144,-1.684149822,-6.669235299
40,-1.940640651,-6.259741367,-1.615755195,-6.44124168
41,-1.903237761,-6.297008701,-1.629004885,-6.493125861
42,-1.896942318,-6.213532092,-1.754329089,-6.553944984
43,-1.865519663,-6.318893686,-1.500405766,-6.415221898
44,-1.865418917,-6.088522325,-1.433018719,-6.38708866
45,-1.852341159,-6.268934214,-1.385039616,-6.461593096
46,-1.841024859,-6.28736986,-1.372774148,-6.520830218
